LCA1 X;LCA1 Y;LCA1 Z;LCA2 X;LCA2 Y;LCA2 Z;LCA3 X;LCA3 Y;LCA3 Z;UCA1 X;UCA1 Y;UCA1 Z;UCA2 X;UCA2 Y;UCA2 Z;UCA3 X;UCA3 Y;UCA3 Z;TR1 X;TR1 Y;TR1 Z;TR2 X;TR2 Y;TR2 Z;WCN X;WCN Y;WCN Z;SPN X;SPN Y;SPN Z;Objective function 0 is best;Camber down (deg);Camber up (deg);Toe down (deg);Toe up (deg);Caster angle (deg);Roll centre height (mm);Caster trail (mm);Scrub radius (mm);Kingpin angle (deg);Anti drive feature(%);Anti brake feature(%);Half track change down (mm);Wheelbase change down (mm);Half track change up (mm);Wheelbase change up (mm);Method;Execution time(s)
-2038.666;-447.3853247;-123.4322833;-2241.147;-395.7708501;-118.2847291;-2129.599023;-601.9377824;-125.2105021;-2040.563;-474.1247966;-292.5743736;-2241.481;-408.251246;-274.3815885;-2145.937314;-585.6177906;-319.0667142;-2248.329085;-434.9203576;-191.3155036;-2239.610658;-597.8737706;-210.4879597;-2143.6;-620.5;-220.07;-2143.6;-595.5;-219.34;1.23E-05;-2.700990677;-1.001217246;-0.068528101;0;4.817487717;64.96302795;23.69892502;-14.99952698;4.812148571;12.83389282;3.051575184;-5.505737305;1.231201172;1.063659668;0.421630859;COBYLA;0.146606922
-2038.666;-341.1618484;-127.3851525;-2241.147;-451.6603655;-132.5417248;-2136.355997;-602.6879879;-144.4244561;-2040.563;-397.899598;-262.0647713;-2241.481;-432.7095962;-271.4055998;-2148.90243;-589.9049851;-312.9287017;-2257.896396;-382.1453624;-164.1382841;-2237.905696;-555.6044192;-184.989105;-2143.6;-620.5;-220.07;-2143.6;-595.5;-219.34;1.23E-05;-2.698951721;-0.998827994;-0.03426405;0;4.258239746;50.01486969;17.24264717;-13.74999809;4.338247776;11.69128609;1.444806576;-4.301940918;-0.669921875;0.717773438;-1.083984375;COBYLA;0.1186831
-2038.666;-360.9962988;-136.5876748;-2241.147;-487.0670857;-143.8619828;-2129.253005;-602.2765145;-154.8428748;-2040.563;-409.9472926;-254.6334679;-2241.481;-453.7686662;-264.3055792;-2139.870254;-592.7286151;-299.2150098;-2212.574149;-423.2232746;-158.7195533;-2203.736269;-598.9003211;-176.8213407;-2143.6;-620.5;-220.07;-2143.6;-595.5;-219.34;1.51E-05;-2.698712587;-0.998838007;-0.068528101;0.019782357;4.206084728;49.99991989;24.98882675;-14.77824688;3.783723831;11.8243475;2.217632771;-4.587890625;-0.8203125;0.479064941;-1.471435547;COBYLA;0.108953476
-2038.666;-428.3875565;-119.9031438;-2241.147;-355.4885535;-113.4953476;-2137.340637;-603.1237637;-120.6944738;-2040.563;-352.1253636;-260.3365554;-2241.481;-469.1149839;-286.8373614;-2165.93954;-586.6756386;-316.5515114;-2265.316102;-418.9389761;-221.9979478;-2233.778317;-566.9878697;-248.1623884;-2143.6;-620.5;-220.07;-2143.6;-595.5;-219.34;3.34E-05;-2.702061415;-1.001559258;-0.068528101;0.044234693;8.30757618;64.98942566;22.4009037;-14.21684074;4.800409794;16.52230835;3.72924161;-5.078796387;0.055175781;1.43347168;-0.970703125;COBYLA;0.134640694
-2038.666;-461.0410875;-139.136292;-2241.147;-357.3244604;-129.2573001;-2132.390701;-596.0212763;-148.55085;-2040.563;-404.3067696;-247.5905061;-2241.481;-438.1721615;-256.819156;-2142.384614;-576.1179741;-290.1699344;-2255.666538;-395.263182;-176.9108103;-2236.224523;-551.8573699;-200.520124;-2143.6;-620.5;-220.07;-2143.6;-595.5;-219.34;7.81E-05;-2.696690559;-0.99783963;0;0;4.03660965;50.01823044;20.97609711;-11.1536932;8.000038147;11.65161324;0.637855411;-4.599731445;0.480712891;0.42590332;0.315429688;COBYLA;0.1875
-2038.666;-335.0051651;-122.2702887;-2241.147;-439.8677591;-123.1014922;-2127.377624;-594.0115475;-135.5514169;-2040.563;-400.9164096;-273.4338273;-2241.481;-395.7009309;-264.243945;-2139.99738;-568.6665657;-315.8939464;-2270.298423;-409.0579045;-156.5088731;-2229.397431;-601.0732746;-177.5625085;-2143.6;-620.5;-220.07;-2143.6;-595.5;-219.34;0.000113279;-2.696549892;-0.996721327;-0.048456684;0.019782357;4.002800465;50.00028992;24.99816513;-14.98927689;7.999816418;10.16667747;6.5487957;-4.323425293;0.371582031;0.764526367;-1.494628906;COBYLA;0.567883968
-2038.666;-364.7191576;-125.9732644;-2241.147;-441.3744275;-126.2095581;-2136.638473;-602.5829195;-132.3919381;-2040.563;-399.5577189;-270.8469214;-2241.481;-441.872339;-281.8388008;-2163.234431;-587.0404067;-317.0324497;-2246.930725;-413.5225393;-239.9624053;-2224.144282;-567.5606021;-269.511867;-2143.6;-620.5;-220.07;-2143.6;-595.5;-219.34;0.000116497;-2.70360589;-1.00320816;-0.074018806;0;8.196615219;64.99906921;24.56936836;-13.75152397;4.811700821;10.00093746;0.903481603;-5.157958984;-0.634033203;1.371948242;-0.878173828;COBYLA;0.121674299
-2038.666;-368.0999421;-121.6076823;-2241.147;-360.0611192;-117.1745161;-2128.873071;-596.6464623;-125.2274091;-2040.563;-417.6487919;-280.9509644;-2241.481;-377.1074603;-268.2929339;-2146.111634;-571.4713086;-318.6494008;-2201.458634;-381.7579336;-171.7911805;-2236.99024;-574.7317398;-190.1317288;-2143.6;-620.5;-220.07;-2143.6;-595.5;-219.34;0.000132591;-2.703931808;-1.003326178;-0.076616742;0;5.092971802;64.99975586;24.98376465;-14.99971008;7.415773869;13.24894714;3.430344582;-4.899963379;0.730957031;1.664428711;-0.204589844;COBYLA;0.30518508
-2038.666;-365.6671027;-142.5938522;-2241.147;-378.1460619;-138.0775501;-2128.79069;-602.3653929;-153.5816561;-2040.563;-438.2715649;-280.5545836;-2241.481;-368.4201944;-260.3946518;-2140.307804;-591.7592183;-316.5194121;-2270.322891;-357.5172805;-181.4206871;-2242.030573;-577.0892187;-207.9220987;-2143.6;-620.5;-220.07;-2143.6;-595.5;-219.34;0.000537425;-2.707327127;-1.007336736;0;0.048456684;4.043173313;64.63082886;24.94834328;-14.92180157;3.724313021;17.62558174;4.443826199;-4.759887695;0.915771484;1.735351563;-0.325195313;COBYLA;0.183510065
-2038.666;-381.5631239;-154.9523312;-2241.147;-340.9441241;-147.5726181;-2144.913232;-591.935517;-168.5932585;-2040.563;-362.7848364;-267.0325221;-2241.481;-399.2564429;-272.3909674;-2155.582575;-570.9710205;-317.7858839;-2244.894832;-384.4582102;-176.6138864;-2241.450117;-601.0397023;-201.0252045;-2143.6;-620.5;-220.07;-2143.6;-595.5;-219.34;0.000614136;-2.692046165;-0.992280364;-0.059347074;0;4.090425014;64.89286041;10.01853466;-12.42548943;7.998859882;11.74155426;4.234037876;-4.783325195;0.693603516;1.752441406;-0.516113281;COBYLA;0.155583382
